Street,Direction,TotalVolume
FURMAN STREET,NB,1954.0
54 ST,EB,1905.0
N/B WEST 6 ST @ AVE W,NB,1900.0
W/B ENT.RAMP TO HEMPSTEAD AV@CITY LINE,WB,1885.0
9 STREET,EB,1884.0
MARATHON PARKWAY,SB,1825.0
THORNHILL AVENUE,WB,1825.0
MOUNT EDEN PKWY,EB,1820.0
KESSEL ST,WB,1789.0
E/B MYRTLE AVE @ GRAND AVE,EB,1787.0
BAY PARKWAY,SB,1774.0
HANCOCK STREET,SB,1772.0
EAST 105 STREET,NB,1720.0
N/B READS LANE @ EMPIRE AVE,NB,1706.0
E/B 35 AVE @ 30 ST,EB,1694.0
BRADDOCK AVENUE,EB,1676.0
E/B JACKIE ROBINSON PKWY @ VERMONT PL,EB,1663.0
WOODSIDE AVENUE,NB,1659.0
HARMAN STREET,WB,1644.0
WEST TREMONT AVENUE,EB,1644.0
FR. DOUGLASS BLVD NB APPROACH TO W 135TH ST,NB,1644.0
VERNON BOULEVARD,NB,1638.0
GRAND CENTRAL PKWY S SER. RD,EB,1625.0
FOOD CENTER DRIVE,WB,1620.0
N/B OAKLAND AVE @ CASTLETON AVE,NB,1613.0
W 72 ST,WB,1585.0
BURKE AVENUE,WB,1580.0
E/B ONDERDONK AVE @ MENAHAN ST,EB,1568.0
ROCKAWAY BLVD EB APPROACH TO LINDEN BLVD,EB,1565.0
HOPKINSON AV,NB,1547.0
LINDEN BLVD SB APPROACH TO ROCKAWAY BLVD,SB,1515.0
AV O,WB,1512.0
W 9 ST,NB,1512.0
62nd DR APPROACH TO 108th ST.,WB,1493.0
FRANCIS LEWIS BLVD,EB,1487.0
NOSTRAND AV,NB,1480.0
QNSBORO BR EXIT,NB,1455.0
BEDFORD PARK BOULEVARD,NB,1439.0
BEDFORD PARK BOULEVARD,SB,1439.0
21 STREET,SB,1420.0
MAURICE AV,NB,1417.0
ROCKAWAY BLVD EB APPROACH TO SUTPHIN BLVD,EB,1385.0
W 71ST ST E/O AMSTERDAM AVE/BROADWAY,WB,1376.0
ADAM C POWELL BLVD,NB,1371.0
BAY STREET,EB,1359.0
MAIN ST,NB,1344.0
NOSTRAND AV,SB,1343.0
E/B NASSAU AVE @ LEONARD ST,EB,1342.0
COOPER AVENUE,NB,1335.0
N/B 11 ST @ 44 AVE,NB,1335.0
W/B 62 DR @ 108 ST,WB,1303.0
VARICK ST,SB,1264.0
EAST 220 STREET,WB,1262.0
2 AVENUE,SB,1260.0
KISSENA BOULEVARD,EB,1254.0
W 174TH ST APPROACHING BROADWAY,EB,1245.0
N/B LUTEN AVE @ EYLANDT ST,NB,1233.0
221 STREET,NB,1226.0
SHELL ROAD,SB,1209.0
EAST 161 STREET,WB,1203.0
WHITESTONE EXWY NB EXIT 14,NB,1183.0
65TH ST APPROACHING 4TH AVE(UNDER BQE),EB,1177.0
E/B METROPOLITAN AVE @ FRESH POND RD,EB,1134.0
EAST 169 STREET,NB,1066.0
W/B AVE V @ E 3 ST,WB,1062.0
RUGBY ROAD,SB,1053.0
W/B MYRTLE AVE @ GRAND AVE,WB,1044.0
BRUCKNER BOULEVARD,EB,1013.0
EXIT FROM HOME DEPOT AT ROCKAWAY BLVD,NB,993.0
PITT STREET,NB,990.0
E/B GATES AVE @ CLASSON AVE,EB,979.0
AVENUE V,EB,972.0
BELT PARKWAY WB EN 4 AVE,WB,962.0
AVENUE O,WB,962.0
E 48 ST,EB,952.0
CENTRAL PARK SOUTH,WB,948.0
TERRACE DRIVE,WB,948.0
BEACH 20 STREET,NB,933.0
PROSPECT AV,SB,894.0
W/B JOHNSON AVE @ HUMBOLDT ST,WB,886.0
E HOUSTON ST,WB,882.0
E HOUSTON ST,EB,882.0
N/B 138 ST @ 31 RD,NB,856.0
UTOPIA PARKWAY,NB,848.0
WEST 182 STREET,WB,846.0
BORDEN AVENUE,WB,838.0
EAST DRIVE,EB,832.0
DAHILL ROAD,SB,822.0
91 AVENUE,WB,809.0
WEST FARMS ROAD,SB,804.0
138 ST,SB,798.0
31 RD,WB,798.0
SEDGWICK AVENUE,SB,794.0
E173RD ST&BRYANT AVE WB AP BT LONGFELLOW & BRYANT,WB,753.0
7TH AVE NB APPROACHING BAY RIDGE PKWY,NB,745.0
BRONXDALE AVENUE,SB,733.0
56 RD,SB,727.0
W/B GATES AVE @ CLASSON AVE,WB,727.0
81 ST,EB,713.0
BRYANT AVE BET E 173RD & E 172ND STS,SB,702.0
19 AV,NB,701.0
Ocean Pkwy NB Service Rd Between,NB,687.0
58 AV,EB,679.0
E/B AVE I @ E 2 ST,EB,669.0
14 AVENUE,NB,665.0
WEST 143 STREET,WB,664.0
S 8 ST,WB,650.0
WEST 62 STREET,WB,636.0
WEST 167 STREET,SB,622.0
E/B FARRAGUT RD @ E 45 ST,EB,599.0
43 AVENUE,EB,587.0
BROADWAY EB APPROACH TO 37TH AVE,EB,586.0
EAST 138 STREET,EB,580.0
DESBROSSES STREET,WB,580.0
WALLABOUT ST,EB,575.0
S/B E 7 ST @ AVE C,SB,568.0
E/B PALMER AVE @ DECKER AVE,EB,567.0
BRADDOCK AVENUE,WB,527.0
EAST 102 STREET,NB,526.0
FLATBUSH AVE APPROACH TO LINCOLN RD,NB,507.0
W/B AVE W @ WEST 6 ST,WB,505.0
DELEVAN STREET,WB,479.0
5 AVENUE,NB,474.0
HOE AVE BET E 172nd ST & JENNINGS STs,SB,468.0
W/B FARRAGUT RD @ E 45 ST,WB,459.0
DUMONT AVENUE,EB,443.0
E 37 ST,NB,437.0
AV D,EB,437.0
N/B MADISON AVE @ E 24TH ST,NB,421.0
E/B HARVEST AVE @ BEMENT AVE,EB,418.0
CONEY ISLAND AV,SB,414.0
CONEY ISLAND AV,NB,414.0
GRAND ST BR,EB,405.0
E173RD ST&BRYANT AVE EB AP BT VYSE & BRYANT AVES,EB,387.0
TOTTEN AV,NB,386.0
N/B 3RD AVE (2 LANES E SIDE) @ E 61 ST,NB,366.0
BOSCOMBE AVENUE,WB,361.0
E 233RD ST BET MURDOCK & HILL AVES,EB,358.0
CAFFREY AVENUE,WB,358.0
FRESH MEADOW LANE,SB,349.0
131 STREET,SB,349.0
W/B NASSAU AVE @ MANHATTAN AVE,WB,336.0
JACKSON AVENUE,NB,331.0
CONCORD AVENUE,SB,331.0
2ND EXIT FROM MALL TO BAYCHESTER AVE,WB,324.0
E/B FARRAGUT RD @ E 38 ST,EB,322.0
CODY AVENUE,NB,312.0
CODY AVENUE,SB,312.0
JACKSON AVENUE,SB,312.0
WHITESTONE EXPRESSWAY SR EAST,NB,312.0
W/B FARRAGUT RD @ E 38 ST,WB,299.0
WASHINGTON ST,SB,281.0
101 AV,EB,274.0
101 AV,WB,274.0
SOUTH STREET,NS,270.0
W/B RICE AVE @ SLOSSON AVE,WB,266.0
QUEENS BLVD,EB,255.0
Ocean Pkwy SB SRD Between,SB,233.0
S/B RIVERSIDE DR @ ST. CLAIRE PLACE,SB,226.0
KINGS HWY SR SB APPROACH TO UTICA AVE,SB,221.0
E 233RD ST BET DE REIMER & BAYCHESTER AVES,WB,215.0
ROCKAWAY FRWY,WB,210.0
ROCKAWAY FRWY,EB,210.0
S/B 12 AVE @ 70 ST,SB,202.0
E/B 77 ROAD @ 164 ST,EB,197.0
BEACH 29 STREET,SB,194.0
SEAGIRT AVENUE,EB,193.0
WEST ST,NB,182.0
PROSPECT STREET,NS,181.0
BILLOP AVENUE,EB,172.0
S/B AVE N @ E 54 ST,SB,167.0
W/B POWERS ST @ GRAHAM ST,WB,158.0
W/B 18 AVE @ BELL BLVD,WB,155.0
EAST 235 STREET,WB,153.0
W/B 60 ROAD @ FRESH POND ROAD,WB,152.0
160 STREET,SB,151.0
W/B E 169 ST@ REV JAMES A POLITE AVE,WB,139.0
N/B 1ST AVE (LEFT TURN BAY) @ E 14 ST,NB,136.0
E/B BOOTH MEMORIAL AVE @ 141 ST,EB,135.0
S/B AMSTERDAM AVE @ W 145 ST,SB,133.0
N/B E 10 ST @ FOSTER AVE,NB,122.0
Adam Clayton Powell Blvd SB,SB,116.0
E/B E 169 ST@ REV JAMES A POLITE AVE,EB,110.0
CORTELYOU AV,NB,107.0
WILSON AVENUE,SB,99.0
N/B WESTCHESTER AV(SLIP RD)@E TREMONT AV,NB,96.0
PITKIN AV,EB,89.0
S/B 11 ST @ 44 AVE,SB,87.0
LIVONIA AVENUE,EB,82.0
E/B RICE AVE @ SLOSSON AVE,EB,79.0
CONCOURSE LINE,NB,72.0
W/B WINDERMERE RD @ STEUBEN  ST,WB,68.0
E 233RD ST BET EDSON & BAYCHESTER AVES,EB,64.0
LIBERTY AVE APPROACH TO 93RD ST,EB,61.0
168 STREET,SB,55.0
E/B KOSCIUSZKO BRIDGE @ TO L.I.E.,EB,53.0
W/B POWERS ST @ GRAHAM AVE,WB,53.0
E/B 59 AVE @ 164 ST,EB,49.0
BAY PARKWAY NB APPROACH TO BATH AVE,NB,46.0
COLGATE AV,SB,45.0
BROOKLYN QUEENS EXPWY ET 41 WB,SB,42.0
7TH AVE DEPARTING 78TH ST,NB,42.0
PAGE AVENUE,SB,41.0
E 233RD ST BET MURDOCK & HILL AVES,WB,40.0
HUNTS POINT AVENUE,SB,40.0
W/B NORTH 14TH ST @ FRANKLIN ST/KENT AVE,WB,38.0
E/B NASSAU AVE @ DIAMOND ST,EB,37.0
HOOVER AV,EB,33.0
E/B W 235 ST @ INDEPENDENCE AVE,EB,32.0
BROOKLYN QUEENS EP ET 29 A EB,WB,32.0
N/B REV JAMES A POLITE AVE @ E 169 ST,NB,28.0
FRANKLIN AVENUE,EB,23.0
E/B JEWEL AVE (E LEG) @ 164 ST,EB,18.0
BROADWAY @ CARYL AVE (CITY LINE),SB,16.0
E/B 60 ST @  8 AVE,EB,9.0
S/B CROSS BAY BLVD @ VAN WICKLEN RD,SB,6.0
E/B MERRICK BLVD@244 ST-HOOK CREEK BLVD,EB,6.0
185TH ST BET AMSTERDAM & AUDUBON AVES,WB,5.0
NEW YORK AVE @ EMPIRE BLVD,NB,1.0
HUGH L CAREY TUNNEL EXIT,EB,1.0
90 ST,SB,0.0
W/B E 25 ST @ ASSER LEVY PLACE,WB,0.0
N/B MENAHAN ST @ ONDERDONK AVE,NB,0.0
S/B ARDEN AVE @ HAMPTON GREEN,SB,0.0
FRESH KILLS BR,SB,0.0
S/B LEONARD ST @ NASSAU AVE,SB,0.0
185TH ST BET AMSTERDAM & AUDUBON AVES,EB,0.0
EASTCHESTER RD @ ALLERTON AVE,SB,0.0
