Hour,AvgVolume
0,150.1961058576991
1,151.1229331910105
10,152.34299854070332
11,153.53842273680462
12,154.1516396012317
13,155.24620981149238
14,155.62393157908312
15,154.95264342135283
16,155.07669873214726
17,154.79987073518015
18,153.39358034308827
19,153.1276361462703
2,151.63093579672338
20,153.32887404790156
21,153.65433438155335
22,153.06964966130516
23,151.62850398975152
3,150.8411563832256
4,151.03170928552964
5,151.4887591210041
6,151.24206979542925
7,151.08904653953857
8,150.88006103817838
9,151.51357819387277
